备盒,,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老,困档,版档
碍巢备,46,52,24,29,35,47,79,119,119,91,60,69,67,21,11,15,22,31,51,57,62,23,26,54,26,21,30,40,36,42,40,37,127.0495556,37.514575
碍悼备,50,56,26,34,37,52,82,127,129,100,65,76,69,20,7,15,25,37,53,62,65,25,27,56,31,23,29,40,39,45,57,39,127.1258639,37.52736667
碍合备,48,51,21,32,33,47,74,123,152,99,62,62,53,15,13,12,22,24,54,71,71,25,31,60,33,24,31,40,41,37,42,40,127.0277194,37.63695556
碍辑备,57,62,32,37,48,66,73,135,159,112,69,75,74,24,21,19,27,43,70,68,89,30,34,48,33,27,37,45,41,54,67,38,126.851675,37.54815556
包厩备,49,54,26,30,34,53,82,127,132,91,63,87,81,25,16,18,21,24,56,62,65,23,28,56,25,22,34,39,33,45,43,37,126.9538444,37.47538611
堡柳备,45,48,21,32,34,47,76,116,124,96,58,71,69,17,9,14,22,31,47,51,60,23,26,37,26,19,28,37,37,36,40,33,127.0845333,37.53573889
备肺备,52,53,25,30,38,57,85,126,139,101,66,92,75,26,12,15,19,35,61,66,71,23,27,56,28,22,33,50,43,53,50,38,126.8895972,37.49265
陛玫备,43,47,23,25,29,51,78,117,109,77,58,71,67,26,15,8,20,26,49,53,57,18,25,49,22,19,29,33,28,37,35,25,126.9041972,37.44910833
畴盔备,51,51,25,35,35,53,75,122,146,96,61,68,70,23,27,13,24,36,55,69,70,28,33,59,32,25,33,53,33,51,46,39,127.0583889,37.65146111
档豪备,43,43,21,26,28,45,66,114,132,90,53,56,49,20,13,9,21,29,52,59,62,21,18,50,23,16,24,47,36,25,39,37,127.0495222,37.66583333
悼措巩备,46,52,24,30,34,49,73,118,125,91,57,66,55,26,14,13,22,31,51,61,60,25,27,54,27,22,29,39,38,45,41,39,127.0421417,37.571625
悼累备,50,56,27,28,36,52,79,125,143,95,66,81,74,20,11,16,22,30,58,61,70,24,29,57,29,22,32,41,35,46,43,35,126.941575,37.50965556
付器备,42,49,21,28,32,41,71,110,119,80,53,63,52,18,12,13,20,28,47,53,55,22,25,48,25,18,26,34,30,39,37,27,126.9105306,37.56070556
辑措巩备,47,53,23,29,34,45,71,116,129,96,57,71,66,15,14,12,20,31,52,60,64,23,27,51,29,20,27,41,38,47,45,38,126.9388972,37.57636667
辑檬备,48,52,23,27,39,52,64,114,125,90,62,88,75,24,17,13,20,32,56,65,68,21,24,52,27,19,29,49,42,46,44,42,127.0348111,37.48078611
己悼备,49,53,25,29,36,49,83,125,127,95,63,76,71,26,11,15,24,32,51,61,62,24,27,56,30,22,29,41,39,45,43,40,127.039,37.56061111
己合备,49,45,20,28,31,47,73,124,134,96,62,68,62,23,16,14,23,33,55,66,64,26,30,56,30,22,33,49,41,50,43,43,127.0203333,37.58638333
价颇备,49,51,27,31,36,46,76,113,126,99,66,77,73,24,10,15,24,33,54,63,72,24,23,56,29,23,24,,29,46,49,39,127.1079306,37.51175556
剧玫备,53,53,26,30,37,58,93,132,146,100,65,86,73,26,14,16,22,36,64,66,71,26,31,59,29,24,39,43,27,50,46,40,126.8687083,37.51423056
康殿器备,47,51,21,26,40,51,86,116,129,88,60,78,72,23,16,15,20,31,53,58,58,23,27,51,26,19,36,37,33,42,39,35,126.8983417,37.52361111
侩魂备,48,50,25,28,33,44,68,107,129,93,52,76,60,18,12,16,22,31,54,66,71,25,28,57,31,21,23,40,46,55,52,44,126.9675222,37.53609444
篮乞备,46,55,23,26,31,41,72,123,129,92,56,66,46,15,11,14,21,41,44,63,94,23,17,51,30,20,23,,37,45,42,35,126.9312417,37.59996944
辆肺备,47,53,24,29,34,49,56,125,135,92,59,69,57,29,14,4,21,31,52,63,62,24,27,55,30,19,28,42,43,35,45,38,126.9816417,37.57037778
吝备,70,54,23,28,35,48,77,123,133,107,,,,,,,,,,,,,,,,,,,,,,,126.9996417,37.56100278
吝尔备,46,52,23,32,33,46,75,117,128,88,58,67,58,21,10,14,23,32,48,47,58,25,27,53,28,25,41,38,37,43,39,37,127.0947778,37.60380556
