备盒,,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老,困档,版档
碍巢备,0.0033,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.0042,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,127.0495556,37.514575
碍悼备,0.0027,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,127.1258639,37.52736667
碍合备,0.0026,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003,127.0277194,37.63695556
碍辑备,0.0036,0.004,0.003,0.004,0.005,0.005,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,126.851675,37.54815556
包厩备,0.0031,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,126.9538444,37.47538611
堡柳备,0.0028,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,127.0845333,37.53573889
备肺备,0.0031,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.004,0.004,0.004,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,126.8895972,37.49265
陛玫备,0.0033,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,126.9041972,37.44910833
畴盔备,0.0035,0.004,0.003,0.004,0.004,0.005,0.004,0.003,0.003,0.004,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.003,0.004,127.0583889,37.65146111
档豪备,0.0025,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,127.0495222,37.66583333
悼措巩备,0.0037,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.005,0.005,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,127.0421417,37.571625
悼累备,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,126.941575,37.50965556
付器备,0.0035,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.006,0.005,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.004,0.003,0.003,126.9105306,37.56070556
辑措巩备,0.0042,0.005,0.004,0.007,0.007,0.008,0.007,0.005,0.005,0.005,0.007,0.006,0.006,0.003,0.002,0.002,0.002,0.003,0.004,0.004,0.002,0.003,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.004,0.006,0.004,126.9388972,37.57636667
辑檬备,0.0028,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,127.0348111,37.48078611
己悼备,0.0033,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.005,0.005,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,127.039,37.56061111
己合备,0.0034,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,127.0203333,37.58638333
价颇备,0.0028,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,127.1079306,37.51175556
剧玫备,0.0031,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.004,126.8687083,37.51423056
康殿器备,0.0032,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.004,126.8983417,37.52361111
侩魂备,0.0031,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,126.9675222,37.53609444
篮乞备,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.0028,0.002,0.0024,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,0.003,0.002,0.002,0.003,126.9312417,37.59996944
辆肺备,0.0034,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,126.9816417,37.57037778
吝备,0.0037,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,126.9996417,37.56100278
吝尔备,0.0027,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,127.0947778,37.60380556
