备盒,,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老,困档,版档
碍巢备,0.0167,0.024,0.021,0.016,0.011,0.006,0.011,0.023,0.011,0.013,0.009,0.0051,0.005,0.007,0.013,0.021,0.024,0.011,0.016,0.016,0.028,0.018,0.019,0.021,0.032,0.018,0.007,0.026,0.024,0.022,0.021,0.019,127.0495556,37.514575
碍悼备,0.0138,0.017,0.017,0.012,0.009,0.003,0.012,0.017,0.01,0.016,0.008,0.004,0.005,0.006,0.012,0.016,0.018,0.007,0.012,0.013,0.023,0.012,0.016,0.018,0.028,0.021,0.008,0.019,0.02,0.018,0.015,0.017,127.1258639,37.52736667
碍合备,0.0194,0.026,0.02,0.018,0.016,0.014,0.011,0.028,0.014,0.022,0.012,0.006,0.01,0.008,0.012,0.024,0.03,0.016,0.018,0.017,0.031,0.017,0.017,0.022,0.033,0.024,0.01,0.029,0.026,0.022,0.029,0.019,127.0277194,37.63695556
碍辑备,0.0146,0.025,0.022,0.015,0.01,0.005,0.005,0.025,0.011,0.019,0.007,0.002,0.004,0.009,0.006,0.021,0.027,0.009,0.013,0.008,0.028,0.018,0.013,0.003,0.031,0.02,0.006,0.025,0.022,0.021,0.016,0.006,126.851675,37.54815556
包厩备,0.0138,0.02,0.018,0.013,0.007,0.005,0.012,0.021,0.009,0.015,0.007,0.006,0.004,0.005,0.008,0.015,0.02,0.012,0.014,0.015,0.022,0.016,0.012,0.016,0.025,0.015,0.007,0.022,0.019,0.016,0.016,0.015,126.9538444,37.47538611
堡柳备,0.0138,0.018,0.018,0.012,0.009,0.004,0.009,0.018,0.012,0.008,0.0107,0.005,0.007,0.008,0.003,0.018,0.022,0.003,0.011,0.004,0.026,0.017,0.021,0.012,0.03,0.017,0.01,0.022,0.023,0.019,0.021,0.011,127.0845333,37.53573889
备肺备,0.0136,0.021,0.019,0.011,0.008,0.005,0.011,0.021,0.009,0.015,0.008,0.003,0.004,0.008,0.01,0.017,0.022,0.01,0.013,0.014,0.022,0.016,0.012,0.016,0.026,0.016,0.006,0.021,0.019,0.017,0.018,0.004,126.8895972,37.49265
陛玫备,0.0161,0.024,0.019,0.015,0.011,0.005,0.02,0.026,0.013,0.016,0.006,0.005,0.002,0.004,0.01,0.021,0.022,0.011,0.013,0.019,0.026,0.021,0.013,0.018,0.031,0.018,0.007,0.024,0.021,0.022,0.019,,126.9041972,37.44910833
畴盔备,0.0151,0.022,0.022,0.016,0.01,0.006,0.011,0.022,0.011,0.022,0.01,0.005,0.003,0.002,0.002,0.02,0.027,0.011,0.016,0.014,0.028,0.019,0.016,0.02,0.031,0.018,0.009,0.015,0.017,0.019,0.022,0.002,127.0583889,37.65146111
档豪备,0.02,0.029,0.029,0.019,0.018,0.011,0.011,0.03,0.015,0.024,0.013,0.006,0.011,0.015,0.014,0.026,0.031,0.011,0.015,0.016,0.034,0.018,0.011,0.024,0.035,0.022,0.011,0.024,0.029,0.018,0.03,0.02,127.0495222,37.66583333
悼措巩备,0.0168,0.024,0.023,0.016,0.013,0.005,0.006,0.022,0.011,0.017,0.01,0.005,0.007,0.006,0.012,0.022,0.025,0.01,0.017,0.016,0.029,0.016,0.017,0.019,0.031,0.023,0.007,0.027,0.024,0.02,0.023,0.017,127.0421417,37.571625
悼累备,0.0165,0.025,0.019,0.011,0.008,0.004,0.014,0.026,0.009,0.017,0.007,0.007,0.005,0.004,0.01,0.019,0.024,0.012,0.016,0.02,0.027,0.018,0.017,0.021,0.029,0.018,0.009,0.027,0.024,0.022,0.021,0.023,126.941575,37.50965556
付器备,0.0136,0.02,0.019,0.011,0.009,0.004,0.011,0.017,0.009,0.015,0.007,0.005,0.007,0.01,0.011,0.017,0.022,0.009,0.012,0.014,0.022,0.013,0.015,0.017,0.028,0.018,0.005,0.021,0.02,0.018,0.013,0.003,126.9105306,37.56070556
辑措巩备,0.0166,0.022,0.021,0.014,0.012,0.008,0.013,0.02,0.012,0.017,0.008,0.006,0.006,0.018,0.012,0.021,0.024,0.011,0.016,0.016,0.026,0.017,0.021,0.02,0.028,0.019,0.01,0.021,0.021,0.019,0.018,0.018,126.9388972,37.57636667
辑檬备,0.0144,0.024,0.02,0.011,0.008,0.004,0.004,0.019,0.008,0.014,0.006,0.004,0.004,0.005,0.003,0.019,0.024,0.011,0.015,0.009,0.026,0.018,0.016,0.018,0.03,0.017,0.008,0.023,0.022,0.021,0.018,0.017,127.0348111,37.48078611
己悼备,0.0155,0.022,0.019,0.014,0.009,0.004,0.011,0.021,0.011,0.015,0.009,0.005,0.004,0.005,0.014,0.019,0.022,0.01,0.015,0.012,0.026,0.017,0.021,0.02,0.03,0.017,0.007,0.024,0.022,0.02,0.021,0.016,127.039,37.56061111
己合备,0.015,0.021,0.02,0.014,0.011,0.005,0.008,0.021,0.011,0.016,0.01,0.005,0.006,0.006,0.011,0.02,0.023,0.01,0.014,0.013,0.027,0.015,0.016,0.018,0.03,0.018,0.006,0.015,0.023,0.018,0.019,0.015,127.0203333,37.58638333
价颇备,0.0146,0.018,0.017,0.012,0.008,0.003,0.012,0.018,0.01,0.014,0.009,0.005,0.005,0.005,0.011,0.018,0.019,0.01,0.012,0.017,0.024,0.018,0.015,0.018,0.028,0.02,0.006,0.024,0.019,0.02,0.017,0.02,127.1079306,37.51175556
剧玫备,0.0129,0.02,0.018,0.013,0.006,0.005,0.01,0.021,0.009,0.014,0.006,0.005,0.004,0.005,0.01,0.017,0.022,0.008,0.009,0.012,0.021,0.015,0.012,0.016,0.026,0.016,0.005,0.019,0.014,0.016,0.013,0.013,126.8687083,37.51423056
康殿器备,0.0147,0.023,0.019,0.01,0.011,0.005,0.01,0.022,0.008,0.015,0.008,0.004,0.004,0.005,0.01,0.019,0.026,0.009,0.013,0.014,0.024,0.017,0.014,0.018,0.028,0.018,0.009,0.022,0.02,0.019,0.016,0.015,126.8983417,37.52361111
侩魂备,0.0166,0.024,0.021,0.015,0.01,0.005,0.011,0.021,0.009,0.016,0.005,0.005,0.005,0.008,0.012,0.021,0.027,0.013,0.016,0.018,0.028,0.017,0.018,0.02,0.032,0.02,0.007,0.029,0.023,0.02,0.019,0.02,126.9675222,37.53609444
篮乞备,0.0176,0.023,0.022,0.015,0.013,0.009,0.016,0.023,0.014,0.019,0.008,0.005,0.014,0.015,0.012,0.021,0.025,0.0031,0.0088,0.019,0.0265,0.019,0.028,0.021,0.03,0.02,0.011,,0.022,0.023,0.019,0.023,126.9312417,37.59996944
辆肺备,0.0173,0.025,0.024,0.015,0.012,0.005,0.005,0.023,0.011,0.017,0.009,0.005,0.006,0.019,0.009,0.025,0.025,0.011,0.016,0.017,0.028,0.019,0.018,0.02,0.032,0.023,0.006,0.025,0.026,0.019,0.025,0.016,126.9816417,37.57037778
吝备,0.0173,0.026,0.027,0.018,0.017,0.008,0.012,0.027,0.013,0.008,,,,,,,,,,,,,,,,,,,,,,,126.9996417,37.56100278
吝尔备,0.0164,0.021,0.02,0.016,0.004,0.004,0.012,0.02,0.017,0.02,0.013,0.005,0.01,0.008,0.016,0.02,0.022,0.01,0.015,0.008,0.026,0.017,0.023,0.021,0.029,0.023,0.008,0.023,0.022,0.02,0.019,0.016,127.0947778,37.60380556
