备盒,,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老,困档,版档
碍巢备,0.0305,0.024,0.021,0.03,0.041,0.052,0.048,0.031,0.038,0.035,0.044,0.0592,0.058,0.04,0.028,0.016,0.018,0.035,0.032,0.033,0.014,0.023,0.024,0.022,0.006,0.024,0.035,0.016,0.018,0.021,0.026,0.034,127.0495556,37.514575
碍悼备,0.0242,0.027,0.019,0.028,0.035,0.044,0.035,0.027,0.027,0.023,0.035,0.049,0.043,0.03,0.019,0.013,0.017,0.029,0.026,0.026,0.012,0.022,0.02,0.017,0.006,0.013,0.026,0.017,0.015,0.018,0.005,0.026,127.1258639,37.52736667
碍合备,0.0237,,,0.023,0.03,0.035,0.045,0.021,0.031,0.024,0.035,0.051,0.045,0.032,0.023,0.01,0.009,0.021,0.022,0.03,0.008,0.02,0.023,0.019,0.004,0.013,0.03,0.011,0.014,0.015,0.013,0.03,127.0277194,37.63695556
碍辑备,0.032,0.021,0.018,0.03,0.047,0.056,0.063,0.028,0.039,0.029,0.045,0.052,0.056,0.036,0.022,0.012,0.014,0.037,0.033,0.044,0.013,0.024,0.031,0.041,0.007,0.023,0.038,0.017,0.019,0.025,0.028,0.045,126.851675,37.54815556
包厩备,0.0335,0.025,0.021,0.034,0.049,0.061,0.05,0.029,0.042,0.032,0.05,0.067,0.065,0.038,0.025,0.016,0.019,0.033,0.033,0.038,0.016,0.024,0.031,0.029,0.009,0.027,0.039,0.018,0.021,0.029,0.032,0.038,126.9538444,37.47538611
堡柳备,0.0238,0.018,0.012,0.02,0.024,0.03,0.03,0.02,0.02,0.021,0.0377,0.051,0.044,0.027,0.023,0.013,0.014,0.036,0.029,0.033,0.012,0.021,0.016,0.023,0.007,0.021,0.027,0.018,0.017,0.02,0.021,0.031,127.0845333,37.53573889
备肺备,0.0275,0.019,0.016,0.028,0.04,0.048,0.042,0.024,0.036,0.027,0.04,0.058,0.052,0.031,0.018,0.012,0.014,0.03,0.028,0.032,0.012,0.02,0.026,0.023,0.006,0.021,0.033,0.017,0.016,0.022,0.021,0.041,126.8895972,37.49265
陛玫备,0.0304,0.023,0.024,0.029,0.037,0.05,0.039,0.026,0.03,0.033,0.046,0.055,0.06,0.036,0.025,0.013,0.022,0.033,0.033,0.033,0.018,0.019,0.028,0.028,0.011,0.028,0.04,0.022,0.023,0.022,0.025,,126.9041972,37.44910833
畴盔备,0.0347,0.031,0.021,0.035,0.05,0.061,0.055,0.033,0.044,0.028,0.052,0.07,0.074,0.05,0.037,0.013,0.012,0.034,0.03,0.038,0.011,0.019,0.03,0.024,0.005,0.026,0.035,0.032,0.024,0.025,0.024,0.054,127.0583889,37.65146111
档豪备,0.025,0.02,0.013,0.026,0.033,0.045,0.045,0.02,0.031,0.023,0.036,0.052,0.047,0.03,0.021,0.01,0.007,0.031,0.027,0.031,0.008,0.022,0.029,0.019,0.004,0.02,0.028,0.019,0.012,0.021,0.014,0.031,127.0495222,37.66583333
悼措巩备,0.0299,0.023,0.017,0.03,0.039,0.054,0.052,0.029,0.037,0.032,0.043,0.063,0.056,0.042,0.025,0.012,0.016,0.035,0.03,0.034,0.012,0.026,0.026,0.025,0.007,0.017,0.034,0.014,0.016,0.023,0.022,0.035,127.0421417,37.571625
悼累备,0.0321,0.022,0.021,0.033,0.046,0.06,0.049,0.03,0.043,0.034,0.049,0.063,0.066,0.044,0.03,0.016,0.017,0.032,0.032,0.032,0.014,0.023,0.027,0.027,0.008,0.025,0.033,0.017,0.019,0.024,0.027,0.031,126.941575,37.50965556
付器备,0.0325,0.023,0.018,0.03,0.045,0.061,0.052,0.035,0.041,0.033,0.048,0.066,0.055,0.036,0.024,0.016,0.019,0.035,0.033,0.037,0.017,0.027,0.027,0.025,0.008,0.023,0.037,0.019,0.021,0.026,0.029,0.043,126.9105306,37.56070556
辑措巩备,0.0285,0.024,0.018,0.031,0.04,0.048,0.047,0.029,0.036,0.029,0.044,0.061,0.057,0.022,0.022,0.013,0.016,0.034,0.028,0.034,0.013,0.023,0.02,0.022,0.005,0.022,0.03,0.017,0.018,0.023,0.026,0.031,126.9388972,37.57636667
辑檬备,0.0317,0.018,0.019,0.033,0.046,0.058,0.056,0.029,0.038,0.031,0.048,0.072,0.059,0.042,0.028,0.012,0.017,0.035,0.031,0.042,0.013,0.022,0.025,0.024,0.006,0.025,0.035,0.018,0.018,0.021,0.027,0.035,127.0348111,37.48078611
己悼备,0.0303,0.027,0.024,0.032,0.042,0.053,0.046,0.029,0.034,0.031,0.044,0.062,0.058,0.041,0.022,0.013,0.019,0.034,0.03,0.036,0.014,0.023,0.02,0.022,0.007,0.025,0.033,0.017,0.018,0.023,0.024,0.035,127.039,37.56061111
己合备,0.0329,0.03,0.022,0.034,0.044,0.056,0.052,0.032,0.039,0.033,0.045,0.062,0.058,0.04,0.028,0.016,0.014,0.035,0.033,0.039,0.014,0.027,0.028,0.027,0.007,0.026,0.036,0.03,0.019,0.027,0.029,0.037,127.0203333,37.58638333
价颇备,0.0322,0.03,0.026,0.035,0.045,0.056,0.045,0.036,0.037,0.034,0.045,0.062,0.059,0.041,0.026,0.017,0.024,0.035,0.035,0.032,0.019,0.02,0.025,0.025,0.01,0.02,0.034,0.017,0.022,0.023,0.03,0.032,127.1079306,37.51175556
