备盒,,1老,2老,3老,4老,5老,6老,7老,8老,9老,10老,11老,12老,13老,14老,15老,16老,17老,18老,19老,20老,21老,22老,23老,24老,25老,26老,27老,28老,29老,30老,31老,困档,版档
碍巢备,0.55,0.6,0.4,0.5,0.6,0.8,0.8,0.9,0.9,0.6,0.7,0.98,0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.5,127.0495556,37.514575
碍悼备,0.52,0.7,0.4,0.5,0.6,0.7,0.7,0.9,0.8,0.6,0.7,0.8,0.7,0.6,0.4,0.3,0.4,0.5,0.5,0.5,0.3,0.4,0.3,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.4,127.1258639,37.52736667
碍合备,0.62,0.7,0.5,0.6,0.7,0.8,0.9,1,0.9,0.7,0.8,0.9,0.8,0.9,0.7,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.6,127.0277194,37.63695556
碍辑备,0.65,0.6,0.4,0.6,0.8,1.1,1.3,0.9,0.9,0.6,0.8,1,1,0.7,0.6,0.4,0.4,0.6,0.6,0.8,0.4,0.5,0.5,0.7,0.3,0.4,0.6,0.5,0.4,0.5,0.6,0.7,126.851675,37.54815556
包厩备,0.65,0.6,0.5,0.6,0.7,1.1,0.9,1,0.9,0.7,0.8,1,1,0.7,0.6,0.5,0.4,0.5,0.6,0.7,0.4,0.5,0.5,0.6,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.6,126.9538444,37.47538611
堡柳备,0.59,0.8,0.5,0.7,0.8,1,1,1.2,1.1,0.9,0.57,0.9,0.6,0.5,0.6,0.3,0.3,0.6,0.5,0.6,0.3,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,127.0845333,37.53573889
备肺备,0.45,0.4,0.3,0.4,0.5,0.8,0.7,0.7,0.6,0.5,0.5,0.8,0.6,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,126.8895972,37.49265
陛玫备,0.56,0.6,0.5,0.5,0.5,0.8,0.7,0.9,0.7,0.7,0.7,0.7,0.8,0.6,0.6,0.4,0.4,0.5,0.6,0.6,0.4,0.4,0.5,0.6,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.4,126.9041972,37.44910833
畴盔备,0.67,0.7,0.5,0.6,0.8,1,0.9,1,0.9,0.6,0.8,1,1.2,0.9,0.9,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.5,0.6,0.4,0.5,0.5,0.7,0.6,0.6,0.5,0.8,127.0583889,37.65146111
档豪备,0.67,0.7,0.4,0.5,0.6,0.8,0.9,1,0.8,0.7,0.7,1,0.9,0.8,0.9,,0.5,0.7,0.8,0.7,0.4,0.5,0.6,0.8,0.3,0.4,0.6,0.8,0.5,0.6,0.5,0.7,127.0495222,37.66583333
